c1,c2,c3,c4,c5,c6,c7,c8,c9,c10
2.622,28.372,2.832,0.81,23.31,11.49,91.75,102.76,36,1
-9.381,16.369,2.832,0.81,23.31,11.49,91.75,102.76,36,1
2.556,28.306,2.83,0.81,23.31,11.49,91.75,102.76,36,1
3.829,29.579,2.83,4.02,26.52,-1.45,78.81,102.76,36,1
3.996,29.746,2.829,4.02,26.52,-1.45,78.81,102.76,36,1
2.844,28.594,2.827,-7.23,15.27,-2.76,77.5,102.76,36,1
-2.567,23.183,2.825,-7.23,15.27,-2.76,77.5,102.76,36,1
-5.329,20.421,2.823,-0.8,21.7,-3.24,77.02,102.76,36,1
5.74,31.49,2.819,-0.8,21.7,-3.24,77.02,102.76,36,1
-1.787,23.963,2.819,-7.23,15.27,-2.76,77.5,102.76,36,1
-4.909,20.841,2.816,7.24,29.74,-6.41,73.85,102.76,36,1
-7.292,18.458,2.816,0.81,23.31,11.49,91.75,102.76,36,1
2.147,27.897,2.816,0.81,23.31,11.49,91.75,102.76,36,1
-13.884,11.866,2.816,4.02,26.52,-1.45,78.81,102.76,36,1
1.731,27.481,2.814,-7.23,15.27,-2.76,77.5,102.76,36,1
0.089,25.839,2.811,-7.23,15.27,-2.76,77.5,102.76,36,1
2.304,28.054,2.81,-2.41,20.09,-1.78,78.48,102.76,36,1
2.545,28.295,2.809,0.81,23.31,11.49,91.75,102.76,36,1
-4.673,21.077,2.791,-7.23,15.27,-2.76,77.5,102.76,36,1
-2.398,23.352,2.79,-0.8,21.7,-3.24,77.02,102.76,36,1
3.733,29.483,2.79,-7.23,15.27,-2.76,77.5,102.76,36,1
-0.986,24.764,2.785,0.81,23.31,11.49,91.75,102.76,36,1
-6.194,19.556,2.782,-0.8,21.7,-3.24,77.02,102.76,36,1
